CFG,Site,Version,Measure,NovW117,NovW217,NovW317,NovW417,DecW117,DecW217,DecW317,DecW417,DecW517,JanW117,JanW217,JanW317,JanW417,JanW517
FP_U2413_CFG,NFC_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,275,275,275,595,595,595,595,595
FP_U2413_CFG,NFC_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,275,275,595,595,595,595,595
FP_U2413_CFG,NFC_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,275,595,595,595,595,595
FP_U2413_CFG,NFC_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,595,595,595,595,595
FP_U2413_CFG,NFC_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,595,595,595,595
FP_U2413_CFG,NFC_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,595,595,595
FP_U2413_CFG,NFC_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,595,595
FP_U2413_CFG,NFC_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,595
FP_U2413_CFG,NFC_Site,FY17Q4W14,Part_Cust_Sales,139,340,154,122,255,268,185,119,240,403,63,244,992,179
FP_U2412MGSA_CFG,NFC_Site,FY17Q3W5,MRP_Part,187,187,187,187,187,187,187,187,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W1,MRP_Part,#Missing,187,187,187,187,187,187,187,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,187,187,187,187,187,187,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,187,187,187,187,187,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,187,187,187,187,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,187,187,187,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W6,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,187,187,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W7,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,187,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W8,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,187,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W9,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,187,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W10,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,187,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W11,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,187,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W12,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,187,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W13,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,#Missing,187
FP_U2412MGSA_CFG,NFC_Site,FY17Q4W14,Part_Cust_Sales,99,354,752,289,213,265,461,157,248,70,1576,196,211,101
FP_U2913WM_CFG,NFC_Site,FY17Q3W5,MRP_Part,1000,1000,1000,1000,200,200,200,200,200,200,200,200,200,200
FP_U2913WM_CFG,NFC_Site,FY17Q4W1,MRP_Part,#Missing,250,250,250,600,600,600,600,600,200,200,200,200,200
FP_U2913WM_CFG,NFC_Site,FY17Q4W2,MRP_Part,#Missing,#Missing,250,250,600,600,600,600,600,200,200,200,200,200
FP_U2913WM_CFG,NFC_Site,FY17Q4W3,MRP_Part,#Missing,#Missing,#Missing,250,600,600,600,600,600,200,200,200,200,200
FP_U2913WM_CFG,NFC_Site,FY17Q4W4,MRP_Part,#Missing,#Missing,#Missing,#Missing,600,600,600,600,600,200,200,200,200,200
FP_U2913WM_CFG,NFC_Site,FY17Q4W5,MRP_Part,#Missing,#Missing,#Missing,#Missing,#Missing,600,600,600,600,200,200,200,200,200
